abs,tcs,airspeed,wheelspeed,rpm,throttle input,throttle,brake input,brake,steering input,steering,gear,time,BAC
0.0,0,17.168243408203125,17.21312141418457,2036.6656494140625,0.16960400342941284,0.16960400342941284,0.0,0.0,-0.008449411951005459,4.309199810028076,b'\x07',7700.8728813,0.0
0.0,0,17.264842987060547,17.327713012695312,1590.9150390625,0.16862699389457703,0.16862699389457703,0.0,0.0,-0.008449411951005459,4.309199810028076,b'\x07',7700.9728919,0.0
0.0,0,17.359703063964844,17.43492317199707,1592.288330078125,0.16960400342941284,0.16960400342941284,0.0,0.0,-0.00793270580470562,4.309199810028076,b'\x07',7701.0730047,0.0
0.0,0,17.446142196655273,17.509870529174805,1598.900146484375,0.1715719997882843,0.1715719997882843,0.0,0.0,-0.0063497647643089294,3.7654199600219727,b'\x07',7701.1732095,0.0
0.0,0,17.55101776123047,17.618722915649414,1613.5938720703125,0.17058099806308746,0.17058099806308746,0.0,0.0,0.00046905881026759744,0.5518800020217896,b'\x07',7701.289211,0.0
0.0,0,17.638139724731445,17.701337814331055,1618.8524169921875,0.17254899442195892,0.17254899442195892,0.0,0.0,0.0020191764924675226,-0.766260027885437,b'\x07',7701.3895011,0.0
0.0,0,17.7271728515625,17.795652389526367,1623.74267578125,0.17352600395679474,0.17352600395679474,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7701.5064717,0.0
0.0,0,17.817237854003906,17.88019371032715,1634.225830078125,0.17352600395679474,0.17352600395679474,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7701.622044,0.0
0.0,0,17.910186767578125,17.97378921508789,1642.2271728515625,0.17352600395679474,0.17352600395679474,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7701.739424,0.0
0.0,0,17.997051239013672,18.062620162963867,1650.447509765625,0.17352600395679474,0.17352600395679474,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7701.8553821,0.0
0.0,0,18.062713623046875,18.131948471069336,1654.5863037109375,0.17352600395679474,0.17352600395679474,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7701.9553908,0.0
0.0,0,18.13825798034668,18.214521408081055,1660.3363037109375,0.17352600395679474,0.17352600395679474,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7702.0555131,0.0
0.0,0,18.20733070373535,18.272802352905273,1668.4437255859375,0.17352600395679474,0.17352600395679474,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7702.1561335,0.0
0.0,0,18.29288101196289,18.36583709716797,1675.2200927734375,0.17352600395679474,0.17352600395679474,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7702.2732119,0.0
0.0,0,18.376535415649414,18.422279357910156,1680.869384765625,0.1598079949617386,0.1598079949617386,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7702.3890924,0.0
0.0,0,18.43381690979004,18.469024658203125,1686.352294921875,0.12744300067424774,0.12744300067424774,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7702.4892841,0.0
0.0,0,18.484865188598633,18.52214241027832,1689.3173828125,0.11959999799728394,0.11959999799728394,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7702.6060946,0.0
0.0,0,18.521265029907227,18.565519332885742,1695.545654296875,0.12254499644041061,0.12254499644041061,0.0,0.0,0.0020191764924675226,-1.0297800302505493,b'\x07',7702.7065251,0.0
